Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
elastic-belt-piping,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping-7.jpg?v=1589555189,7,,,,,,,,,,,,,,,,,,,,,,
elastic-belt-piping,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping-6.jpg?v=1589555189,8,,,,,,,,,,,,,,,,,,,,,,
elastic-belt-piping,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping-1_8d452cdf-d014-4f95-a42c-f9a76241bc16.jpg?v=1589555189,9,,,,,,,,,,,,,,,,,,,,,,
elastic-belt-piping,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping_d1a20fc9-e372-4798-8a5a-2bb48612be9b.jpg?v=1589555189,10,,,,,,,,,,,,,,,,,,,,,,
elastic-belt-piping,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping-5_25bf02d8-74eb-49fe-8b19-0363016e4914.jpg?v=1589555189,11,,,,,,,,,,,,,,,,,,,,,,
elastic-belt-piping,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/elastic-belt-with-piping-4_b1b23873-ba5e-4ab4-bbee-316bb23d0a3c.jpg?v=1589555189,12,,,,,,,,,,,,,,,,,,,,,,
leather-slide-sandal,Leather Slide Sandal,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Our timeless classic two strap best-selling slide. Comfortable and supportive for every day and beyond.</span></p>
<p class=""p1"">MATERIALS &amp; CONSTRUCTION:</p>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s1""></span>Genuine Italian leather upper</li>
</ul>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s1""></span>Cushioned hand- stitched leather insole for comfort<br> and support</li>
</ul>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s1""></span>Handmade in Italy's Puglia region</li>
</ul>
<ul data-mce-fragment=""1"">
<li class=""li1"">NOTE: this sandals does not feature the cushioned leather insole.<br>
</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">WEAR YOUR COCOBELLE SANDALS WITH PRIDE </strong><br data-mce-fragment=""1"">Purchasing a pair of Cocobelle sandals means you are directly supporting artisans in Italy and their sustainable handmade production model. One sandal at a time we are creating a community of conscious consumers with respect for people and the planet.  </p>
<p data-mce-fragment=""1"">Your sandals were designed and made to last well beyond the Summer because fashion shouldn't be fast, it should last. Franco &amp; Rocco made your sandals.</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">THIS ITEM IS FINAL SALE.</strong></p>",Cocobelle,,Sandals,"Full Price Sandals, goldsandals, Leather Sandal, Made In Italy, mothers day collection, Resort 2021, Size Chart, Slide Sandal, Spring 2021, Spring 2022, Summer 22",true,Color,Cracked Gold,Size,36,,,'845175060578,544.310844,shopify,deny,manual,160.00,,true,true,'845175060578,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_232_StampedNatural_pair_2048x2048_924c6c39-6895-4e08-8006-4d02a3fe4302.jpg?v=1649176265,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_714_CrackedGold_pair_2048x2048_1.jpg?v=1649176265,lb,,,active
leather-slide-sandal,,,,,,,,,Cracked Gold,,37,,,'845175060585,544.310844,shopify,deny,manual,160.00,,true,true,'845175060585,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_232_StampedNatural_single_2048x2048_8c382703-f91c-423b-9f0e-7d9dd302acac.jpg?v=1649176265,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_714_CrackedGold_pair_2048x2048_1.jpg?v=1649176265,lb,,,
leather-slide-sandal,,,,,,,,,Cracked Gold,,38,,,'845175060592,544.310844,shopify,deny,manual,160.00,,true,true,'845175060592,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_232_StampedNatural_side_2048x2048_01d269be-6e59-4567-baf2-6535706afdc1.jpg?v=1649176265,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_714_CrackedGold_pair_2048x2048_1.jpg?v=1649176265,lb,,,
leather-slide-sandal,,,,,,,,,Cracked Gold,,39,,,'845175060608,544.310844,shopify,deny,manual,160.00,,true,true,'845175060608,https://cdn.shopify.com/s/files/1/1796/0497/products/1_044ad51a-6158-48c3-af6e-d4ccdd6d7f02.png?v=1649176265,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_714_CrackedGold_pair_2048x2048_1.jpg?v=1649176265,lb,,,
